imagepath,prediction,gtoutput
"livingroom1/0/Action_0038_0_normal.png,livingroom1/0/Action_0050_0_normal.png,livingroom1/0/Action_0063_0_normal.png,livingroom1/0/Action_0075_0_normal.png","(female1, walk, sofa) (male1, walk, chair), (female1, stand, sofa) (male1, walk, chair), (female1, stand, sofa) (male1, stand, chair), (female1, sit, sofa) (male1, stand, chair)","(female1, stand, tv) (male1, switchon, computer),(female1, switchon, tv) (male1, switchon, computer),(female1, stand, tv) (male1, stand, computer),(female1, walk, sofa) (male1, walk, chair)"
"livingroom1/0/Action_0050_0_normal.png,livingroom1/0/Action_0063_0_normal.png,livingroom1/0/Action_0075_0_normal.png,livingroom1/0/Action_0088_0_normal.png","(female1, walk, sofa) (male1, walk, sofa), (female1, stand, sofa) (male1, stand, sofa), (female1, stand, sofa) (male1, stand, sofa), (female1, stand, sofa) (male1, stand, sofa)","(female1, switchon, tv) (male1, switchon, computer),(female1, stand, tv) (male1, stand, computer),(female1, walk, sofa) (male1, walk, chair),(female1, walk, sofa) (male1, walk, chair)"
"livingroom1/0/Action_0063_0_normal.png,livingroom1/0/Action_0075_0_normal.png,livingroom1/0/Action_0088_0_normal.png,livingroom1/0/Action_0100_0_normal.png","(male1, walk, sofa) (female1, walk, chair), (male1, stand, sofa) (female1, walk, chair), (male1, stand, sofa) (female1, stand, chair), (male1, stand, sofa) (female1, stand, chair)","(female1, stand, tv) (male1, stand, computer),(female1, walk, sofa) (male1, walk, chair),(female1, walk, sofa) (male1, walk, chair),(female1, stand, sofa) (male1, walk, chair)"
"livingroom1/0/Action_0075_0_normal.png,livingroom1/0/Action_0088_0_normal.png,livingroom1/0/Action_0100_0_normal.png,livingroom1/0/Action_0113_0_normal.png","(male1, sit, sofa) (female1, stand, chair)","(female1, walk, sofa) (male1, walk, chair),(female1, walk, sofa) (male1, walk, chair),(female1, stand, sofa) (male1, walk, chair),(female1, stand, sofa) (male1, stand, chair)"
"livingroom1/0/Action_0088_0_normal.png,livingroom1/0/Action_0100_0_normal.png,livingroom1/0/Action_0113_0_normal.png,livingroom1/0/Action_0125_0_normal.png","(female1, walk, sofa) (male1, walk, sofa), (female1, stand, sofa) (male1, stand, sofa), (female1, stand, sofa) (male1, stand, sofa), (female1, stand, sofa) (male1, stand, sofa)","(female1, walk, sofa) (male1, walk, chair),(female1, stand, sofa) (male1, walk, chair),(female1, stand, sofa) (male1, stand, chair),(female1, sit, sofa) (male1, stand, chair)"
"livingroom1/0/Action_0100_0_normal.png,livingroom1/0/Action_0113_0_normal.png,livingroom1/0/Action_0125_0_normal.png,livingroom1/0/Action_0138_0_normal.png","(female1, sit, chair) (male1, sit, sofa), (female1, sit, chair) (male1, sit, sofa), (female1, sit, chair) (male1, sit, sofa), (female1, sit, chair) (male1, sit, sofa)","(female1, stand, sofa) (male1, walk, chair),(female1, stand, sofa) (male1, stand, chair),(female1, sit, sofa) (male1, stand, chair),(female1, sit, sofa) (male1, sit, chair)"
"livingroom1/0/Action_0113_0_normal.png,livingroom1/0/Action_0125_0_normal.png,livingroom1/0/Action_0138_0_normal.png,livingroom1/0/Action_0150_0_normal.png","(female1, walk, sofa) (male1, walk, sofa), (female1, stand, sofa) (male1, stand, sofa), (female1, stand, sofa) (male1, stand, sofa), (female1, stand, sofa) (male1, stand, sofa)","(female1, stand, sofa) (male1, stand, chair),(female1, sit, sofa) (male1, stand, chair),(female1, sit, sofa) (male1, sit, chair),(female1, sit, sofa) (male1, sit, chair)"
"livingroom1/0/Action_0125_0_normal.png,livingroom1/0/Action_0138_0_normal.png,livingroom1/0/Action_0150_0_normal.png,livingroom1/0/Action_0163_0_normal.png","(female1, walk, sofa) (male1, walk, chair), (female1, stand, sofa) (male1, walk, chair), (female1, stand, sofa) (male1, stand, chair), (female1, sit, sofa) (male1, stand, chair)","(female1, sit, sofa) (male1, stand, chair),(female1, sit, sofa) (male1, sit, chair),(female1, sit, sofa) (male1, sit, chair),(female1, sit, sofa) (male1, sit, chair)"
"livingroom1/0/Action_0138_0_normal.png,livingroom1/0/Action_0150_0_normal.png,livingroom1/0/Action_0163_0_normal.png,livingroom1/0/Action_0175_0_normal.png","(male1, walk, sofa) (female1, walk, chair), (male1, stand, sofa) (female1, walk, chair), (male1, stand, sofa) (female1, stand, chair), (male1, sit, sofa) (female1, stand, chair)","(female1, sit, sofa) (male1, sit, chair),(female1, sit, sofa) (male1, sit, chair),(female1, sit, sofa) (male1, sit, chair),(female1, sit, sofa) (male1, lookat, computer)"
"livingroom1/0/Action_0150_0_normal.png,livingroom1/0/Action_0163_0_normal.png,livingroom1/0/Action_0175_0_normal.png,livingroom1/0/Action_0188_0_normal.png","(female1, walk, sofa) (male1, walk, chair), (female1, stand, sofa) (male1, stand, chair), (female1, sit, sofa) (male1, stand, chair), (female1, sit, sofa) (male1, sit, chair)","(female1, sit, sofa) (male1, sit, chair),(female1, sit, sofa) (male1, sit, chair),(female1, sit, sofa) (male1, lookat, computer),(female1, sit, sofa) (male1, lookat, computer)"
