imagepath,prediction,gtoutput
"kitchen2/0/Action_0013_0_normal.png,kitchen2/0/Action_0025_0_normal.png,kitchen2/0/Action_0038_0_normal.png,kitchen2/0/Action_0050_0_normal.png","(female1, stand , stove) (male1, walk , kitchentable), (female1, stand , stove) (male1, walk , kitchentable), (female1, stand , stove) (male1, walk , kitchencounter), (female1, stand , stove) (male1, walk , sink)","(female1, grab , fryingpan) (male1, walk , kitchentable),(female1, put, fryingpan, stove) (male1, walk , kitchentable),(female1, stand , stove) (male1, grab , cutleryknife),(female1, stand , stove) (male1, walk , kitchentable)"
"kitchen2/0/Action_0025_0_normal.png,kitchen2/0/Action_0038_0_normal.png,kitchen2/0/Action_0050_0_normal.png,kitchen2/0/Action_0063_0_normal.png","(female1, stand , stove) (male1, walk , kitchentable), (female1, stand , stove) (male1, walk , kitchentable), (female1, stand , stove) (male1, walk , kitchencounter), (female1, stand , stove) (male1, walk , sink)","(female1, put, fryingpan, stove) (male1, walk , kitchentable),(female1, stand , stove) (male1, grab , cutleryknife),(female1, stand , stove) (male1, walk , kitchentable),(female1, walk , microwave) (male1, walk , kitchentable)"
"kitchen2/0/Action_0038_0_normal.png,kitchen2/0/Action_0050_0_normal.png,kitchen2/0/Action_0063_0_normal.png,kitchen2/0/Action_0075_0_normal.png","(female1, stand , stove) (male1, walk , kitchentable), (female1, stand , stove) (male1, walk , kitchentable), (female1, stand , stove) (male1, walk , kitchencounter), (female1, stand , stove) (male1, walk , sink)","(female1, stand , stove) (male1, grab , cutleryknife),(female1, stand , stove) (male1, walk , kitchentable),(female1, walk , microwave) (male1, walk , kitchentable),(female1, walk , microwave) (male1, walk , kitchentable)"
"kitchen2/0/Action_0050_0_normal.png,kitchen2/0/Action_0063_0_normal.png,kitchen2/0/Action_0075_0_normal.png,kitchen2/0/Action_0088_0_normal.png","(female1, stand , stove) (male1, walk , kitchentable), (female1, stand , stove) (male1, walk , kitchentable), (female1, switchon, stove) (male1, walk , kitchentable), (female1, switchon, stove) (male1, walk , kitchentable)","(female1, stand , stove) (male1, walk , kitchentable),(female1, walk , microwave) (male1, walk , kitchentable),(female1, walk , microwave) (male1, walk , kitchentable),(female1, grab , salmon) (male1, walk , kitchencounter)"
"kitchen2/0/Action_0063_0_normal.png,kitchen2/0/Action_0075_0_normal.png,kitchen2/0/Action_0088_0_normal.png,kitchen2/0/Action_0100_0_normal.png","(female1, stand , stove) (male1, walk , kitchentable), (female1, stand , stove) (male1, walk , kitchentable), (female1, stand , stove) (male1, walk , kitchencounter), (female1, stand , stove) (male1, walk , sink)","(female1, walk , microwave) (male1, walk , kitchentable),(female1, walk , microwave) (male1, walk , kitchentable),(female1, grab , salmon) (male1, walk , kitchencounter),(female1, grab , salmon) (male1, walk , kitchencounter)"
"kitchen2/0/Action_0075_0_normal.png,kitchen2/0/Action_0088_0_normal.png,kitchen2/0/Action_0100_0_normal.png,kitchen2/0/Action_0113_0_normal.png","(female1, stand , stove) (male1, walk , kitchentable), (female1, stand , stove) (male1, walk , kitchentable), (female1, stand , stove) (male1, walk , kitchencounter), (female1, stand , stove) (male1, walk , sink)","(female1, walk , microwave) (male1, walk , kitchentable),(female1, grab , salmon) (male1, walk , kitchencounter),(female1, grab , salmon) (male1, walk , kitchencounter),(female1, walk , stove) (male1, walk , sink)"
"kitchen2/0/Action_0088_0_normal.png,kitchen2/0/Action_0100_0_normal.png,kitchen2/0/Action_0113_0_normal.png,kitchen2/0/Action_0125_0_normal.png","(female1, stand , stove) (male1, walk , kitchentable), (female1, stand , stove) (male1, walk , kitchentable), (female1, stand , stove) (male1, walk , kitchencounter), (female1, stand , stove) (male1, walk , sink)","(female1, grab , salmon) (male1, walk , kitchencounter),(female1, grab , salmon) (male1, walk , kitchencounter),(female1, walk , stove) (male1, walk , sink),(female1, walk , stove) (male1, stand, sink)"
"kitchen2/0/Action_0100_0_normal.png,kitchen2/0/Action_0113_0_normal.png,kitchen2/0/Action_0125_0_normal.png,kitchen2/0/Action_0138_0_normal.png","(female1, stand , stove) (male1, walk , kitchentable), (female1, stand , stove) (male1, walk , kitchentable), (female1, stand , stove) (male1, walk , kitchencounter), (female1, stand , stove) (male1, walk , sink)","(female1, grab , salmon) (male1, walk , kitchencounter),(female1, walk , stove) (male1, walk , sink),(female1, walk , stove) (male1, stand, sink),(female1, walk , stove) (male1, put, cutleryknife, sink)"
"kitchen2/0/Action_0113_0_normal.png,kitchen2/0/Action_0125_0_normal.png,kitchen2/0/Action_0138_0_normal.png,kitchen2/0/Action_0150_0_normal.png","(female1, stand , stove) (male1, walk , kitchentable), (female1, stand , stove) (male1, walk , kitchentable), (female1, stand , stove) (male1, stand, kitchentable), (female1, stand , stove) (male1, stand, kitchentable)","(female1, walk , stove) (male1, walk , sink),(female1, walk , stove) (male1, stand, sink),(female1, walk , stove) (male1, put, cutleryknife, sink),(female1, walk , stove) (male1, stand, sink)"
"kitchen2/0/Action_0125_0_normal.png,kitchen2/0/Action_0138_0_normal.png,kitchen2/0/Action_0150_0_normal.png,kitchen2/0/Action_0163_0_normal.png","(female1, stand , stove) (male1, walk , kitchentable), (female1, stand , stove) (male1, walk , kitchentable), (female1, stand , stove) (male1, walk , kitchencounter), (female1, stand , stove) (male1, walk , sink)","(female1, walk , stove) (male1, stand, sink),(female1, walk , stove) (male1, put, cutleryknife, sink),(female1, walk , stove) (male1, stand, sink),(female1, walk , stove) (male1, walk , kitchentable)"
